Provincia di vendita,N. Reg. , Prodotto fitosanitario venduto*,"Quantità 
(Kg o litri)"
BL,17058,ROMEO,4.5
BL,17075,MOVIDA,0.7
BL,17078,QUANTUM L,1
BL,17107,SPYRIT 50 SC,5
BL,17116,ACTIVUS ME,2
BL,17211,GENKOTSU,3
BL,17217,ARMICARB SPRAY PFNPE,117.75
BL,17296,TARLYS,9
BL,17317,NABUCCO,2
BL,17323,CONTENDER 800,30
BL,17360,MAGO,11
BL,17377,REFINE SX,0.03
BL,17422,ENVITA SC,4
BL,17435,RIDOMIL GOLD COMBI WG,18
BL,17454,ENCARIT,192
BL,17665,PYRUS PRO,1
BL,17826,DOMARK 125 PLUS,13
BL,17920,GHIBLI TM,440
BL,18001,MIKONOS,5
BL,18003,CUNEB,2.5
BL,18137,REVYSION,27
BL,18139,IRONITE PFNPE,131
BL,18181,UNIVOQ,11
BL,18213,BACILLUS CHEMIA PFNPE,11.89
BL,18216,VITIKAPPA PFNPE,26.2
BL,18222,FERRAMOL PFNPE,628
BL,18222,FERRAMOL PFNPE 1kg,252
BL,18222,FERRAMOL PFNPE 500g,36
BL,18223,NATRIA LUMACHICIDA PFNPE,695.5
BL,18229,BAC MK PFNPE,0.9
BL,18232,BORDOFLOW NEW PFNPE,12.8
BL,18235,CIOPPER PFNPE,25
BL,18239,FLIPPER PFNPE,11.55
BL,18241,IDRORAME FLOW PFNPE,26
BL,18242,LEPINOX PLUS PFNPE,3.18
BL,18244,MOMENTUM PFNPE,0.72
BL,18245,POLTIGLIA MANICA 20 WG PFNPE,112.5
BL,18248,SULGRAN DF PFNPE,1.5
BL,18251,TIOLENE PFNPE,23
BL,18253,VERDERAME 20 WG PFNPE,134
BL,18257,3LOGY PFNPE,0.04
BL,18259,BARBARIAN BIOGRADE 360 PFNPE,1126.5
BL,18261,BARCLAY GALLUP BIOGRADE 360 PFNPE,86
BL,18263,BIOLID UP PFNPE,55.5
BL,18267,CONTENDER 80 WG PFNPE,2.8
BL,18269,GLIFENE BIOGRADE PFNPE,255.5
BL,18270,GLIPHOGAN TOP CL PFNPE,406.5
BL,18279,TAIFUN MK CL PFNPE,39.5
BL,18282,TRUSTEE 450 PFNPE,18
BL,18284,WANAX PFNPE,0.5
BL,18292,YUKON,20
BL,18318,PRINCIPAL FORTE,4.8
BL,18720,U46 D-MAX,50.5
PD,13,,6780
PD,13,THIOPRON,44532
PD,133,U 46 D-FLUID,34
PD,206,ALBENE,9
PD,362,,2
PD,362,TREND 90,14
PD,599,ACUPRICO 76 WG,330
PD,909,,3725
PD,909,POLISOLFURO DI CALCIO POLISENIO,815
PD,1155,,6
PD,1156,,591
PD,1156,CHEMOL,5227
PD,1562,,138
PD,1573,,120
PD,1583,,2400
PD,1583,MICROTHIOL DISPERSS,59625
PD,1583,MICROTHIOL DISPRESS 15 KG.,180
PD,1850,IDRORAME FLOW,136
PD,1903,SULFURENE,150
PD,1936,,60
PD,1936,LIQUIZOL M,211
PD,2191,,36
PD,2191,WETTING PLUS,95
PD,2259,,55
PD,2259,PASTA LUMACHICIDA IN GRANI,25
PD,2260,,128
PD,2260,GASTROTOX E,247
PD,2291,ESCA REGINA N,77
PD,2307,,233
PD,2307,VECTOR,1435
PD,2518,ACTELLIC 2/P,6
PD,2603,ESCACIDE,10
PD,2732,,1542
PD,2732,GOLTIX,1241
PD,2923,,6858
PD,2923,TIOVIT JET,5277
PD,2934,MICROSOL 90,5
PD,2995,,2
PD,3102,,250
PD,3102,OLEOTER,231
PD,3182,,26
PD,3343,,117
PD,3343,U46 M CLASS,89
PD,3412,,18
PD,3412,SYLLIT 65,29
PD,3486,TRISCABOL DG,45
PD,3503,AGRUMIN,204
PD,3519,,29
PD,3519,METAMBANE,85
PD,3553,CURZATE,66
PD,3640,,180
PD,3640,CUPRAVIT DUO,10
PD,3640,CUPROSTAR,12
PD,3767,,199
PD,3767,FENOXILENE 200,1382
PD,3817,,66
PD,3817,DISERBONE KN,32
PD,4264,VIC 400 SC,51
PD,4701,,33
PD,4701,PIRIMOR 50,32
PD,4710,,287
PD,4710,ALIETTE,665.25
PD,5152,,1140
PD,5152,TIOSPOR WG,1018
