0	NO	NO	NENHUM	pagina institucional/menu (chi e ARPAV)	Chi è ARPAV - Agenzia Regionale
1	NO	NO	NENHUM	albo informatico: atos administrativos	APPROVAZIONE SCHEMA DI CONTRATTO
2	NO	NO	NENHUM	indice de noticias (menu + titulos de residuos/mar)	rifiuti spiaggiati identificabili
3	NO	NO	NENHUM	evento de divulgacao cientifica	Notte delle Ricercatrici e dei Ricercatori 2026
4	NO	NO	NENHUM	teses de licenciatura: pagina administrativa	Tesi di laurea - IRET
5	NO	NO	NENHUM	estruturas de servico do instituto	Officina Meccanica (L0.08)
6	NO	NO	NENHUM	conselho de instituto: nomes	Consiglio di Istituto
7	NO	NO	NENHUM	menu de atividades	Attività e servizi - Arpal Liguria
8	NO	NO	NENHUM	qualidade e seguranca (ISO)	Manuale della qualità
9	NO	NO	NENHUM	comite de garantia	Comitato Unico di Garanzia
10	NO	NO	NENHUM	pagina nao encontrada	Not found - Pagina non trovata
11	NO	NO	NENHUM	lista de gabinetes da regiao	Uffici agricoltura e foreste
12	NO	NO	NENHUM	indice A-Z	Dalla A alla Z
13	NO	NO	NENHUM	aviso de contributo ao terceiro sector	contributo in favore di un Ente del Terzo settore
14	NO	NO	NENHUM	associacao Donne in Campo	Donne in Campo
15	NO	NO	NENHUM	arquivo de noticias Georgofili	Accademia dei Georgofili Archivi
16	NO	NO	NENHUM	arquivo fisco/lavoro	Fisco, lavoro e impresa Archivi
17	NO	NO	NENHUM	arquivo de coluna de opiniao	Il corsivo del Cugino Emme
18	NO	NO	NENHUM	fundacao vitimas de crime	vittime di reato
19	NO	NO	NENHUM	fundos de coesao	Piano Sviluppo e Coesione
20	NO	NO	NENHUM	programa operativo (fundos UE)	Programma Operativo Complementare
21	NO	NO	NENHUM	homepage de fundos UE	Interreg MED
22	NO	NO	NENHUM	Jogos olimpicos: mobilidade	Oltre i Giochi 2026
23	NO	NO	NENHUM	idem	legacy olimpica
24	NO	NO	NENHUM	homepage/menu ARPA Lazio	Ambiente - ARPA Lazio
25	NO	NO	NENHUM	homepage/menu Arpal	Arpal Liguria - Home page
26	NO	NO	NENHUM	homepage/menu ARPA Lombardia	ARPA Lombardia | Home Page
27	NO	NO	NENHUM	menu tema Acqua (so menu de temas)	Campi elettromagnetici menù principale
28	NO	NO	NENHUM	homepage/menu ARPAT	Homepage - ARPAT
29	NO	NO	NENHUM	comite unico de garantia	Comitato unico di garanzia
30	NO	NAO_SEI	NENHUM	polen e esporos no ar (aerobiologia), nao clima/agua/solo	concentrazioni polliniche di amaranto, ambrosia
31	NO	NO	NENHUM	seletor de lingua	Skip to content Skip to navigation
32	NO	NO	NENHUM	agencia de mobilidade: autocarros	AUTOBUS NUOVI DI FABBRICA ELETTRICI
33	NAO_SEI	NAO_SEI	T2?	homepage de alertas de protecao civil: menu, sem boletim	Archivio Bollettini di Monitoraggio e Previsione
34	NO	NO	NENHUM	transparencia administrativa	Amministrazione Trasparente
35	NO	NO	NENHUM	transparencia administrativa	Amministrazione Trasparente
36	NO	NO	NENHUM	anagrafe publica	Anagrafe Pubblica
37	NO	NO	NENHUM	URP	Ufficio Relazioni con il Pubblico
38	NO	NO	NENHUM	area de funcionarios	Area Dipendenti
39	NO	NO	NENHUM	boletim oficial (explicacao)	BURC
40	NO	NO	NENHUM	homepage/menu/pagina administrativa ou de outro assunto (lida)	-
41	NO	NO	NENHUM	homepage/menu/pagina administrativa ou de outro assunto (lida)	-
42	NO	NO	NENHUM	homepage/menu/pagina administrativa ou de outro assunto (lida)	-
43	NO	NO	NENHUM	homepage/menu/pagina administrativa ou de outro assunto (lida)	-
44	NO	NO	NENHUM	homepage/menu/pagina administrativa ou de outro assunto (lida)	-
45	NO	NO	NENHUM	homepage/menu/pagina administrativa ou de outro assunto (lida)	-
46	NO	NO	NENHUM	homepage/menu/pagina administrativa ou de outro assunto (lida)	-
47	NO	NO	NENHUM	homepage/menu/pagina administrativa ou de outro assunto (lida)	-
48	NO	NO	NENHUM	homepage/menu/pagina administrativa ou de outro assunto (lida)	-
49	NO	NO	NENHUM	homepage/menu/pagina administrativa ou de outro assunto (lida)	-
50	NO	NO	NENHUM	homepage/menu/pagina administrativa ou de outro assunto (lida)	-
51	NO	NO	NENHUM	homepage/menu/pagina administrativa ou de outro assunto (lida)	-
52	NO	NO	NENHUM	homepage/menu/pagina administrativa ou de outro assunto (lida)	-
53	NO	NO	NENHUM	homepage/menu/pagina administrativa ou de outro assunto (lida)	-
54	NO	NO	NENHUM	homepage/menu/pagina administrativa ou de outro assunto (lida)	-
55	NO	NO	NENHUM	homepage/menu/pagina administrativa ou de outro assunto (lida)	-
